Device Name,MAC Address,Status,Vulnerable UUID
,98:3D:AE:AC:4D:B2,VULNERABLE_TARGET_DETECTED,87654321-4321-4321-4321-210987654321
,98:3D:AE:AC:4D:B2,VULNERABLE_TARGET_DETECTED,87654321-4321-4321-4321-210987654321
XIAO_Vulnerable_LED,98:3D:AE:AC:4D:B2,VULNERABLE_TARGET_DETECTED,87654321-4321-4321-4321-210987654321
